business_name,category,phone,address,zip,stars,review_count,website_url,website_status,new_website_url,google_maps_url,last_verified,notes,possible_owner_name,owner_evidence,place_id,call_status,last_contact_date,contact_notes
Mod Pawz: A Modern Pet Salon,pet grooming / Pet Care,(720) 242-9925,"6725 W Ken Caryl Ave, Littleton, CO 80128, USA",80128,4.8,78,,none,,https://maps.google.com/?cid=7940991027371144053&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 9x): Jennie,ChIJBwfgznJ_a4cRdXMFJ0QRNG4,not_called,,
Unique Lawn and Landscaping LLC,landscaping / General Contractor,(720) 723-9465,"1406 S Zephyr Ct, Lakewood, CO 80232, USA",80232,5,60,,none,,https://maps.google.com/?cid=12530667335010091840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 6x): Loc,ChIJY5lPlNKBa4cRQAPeBY3f5a0,not_called,,
Romero barbershop,barber shop / Barber shop,(720) 621-1463,"1435 Florence St, Aurora, CO 80010, USA",80010,5,58,,none,,https://maps.google.com/?cid=6030988172152128903&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,Two,google reviews (mentioned 2x): Mike; web romerothelabel.com (owner mention): Two,ChIJcf_LH6x9bIcRh8W1_clfslM,not_called,,
Real Barbers,barber shop / Barber shop,(303) 797-6066,"5192 S Lowell Blvd, Littleton, CO 80123, USA",80123,4.8,52,,none,,https://maps.google.com/?cid=18135318242321162203&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 2x): Barber,ChIJeSUzTNh_a4cR2982OtuXrfs,not_called,,
Bee Kneaded Massage,massage therapy / Massage,(904) 240-9345,"709 W Littleton Blvd, Littleton, CO 80120, USA",80120,5,49,,none,,https://maps.google.com/?cid=3447122026439007611&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 3x): Bekah,ChIJ_9vyKTOAbIcRe11SKzij1i8,not_called,,
Beauty Salon & Barber Shop,barber shop / Beauty Salon,(720) 643-7863,"10815 W Jewell Ave unit C, Lakewood, CO 80226, USA",80226,4.9,49,,none,,https://maps.google.com/?cid=10720783014241310297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 6x): Viviana,ChIJ48tfysOBa4cRWRblrVnfx5Q,not_called,,
Mark's Quality Lawn Care,lawn care / Services,(303) 420-2880,"4320 Eaton St, Denver, CO 80212, USA",80212,4.8,47,,none,,https://maps.google.com/?cid=4241271924765914526&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 7x): Mark,ChIJZZ8vy6OHa4cRnnWCJ1gG3Do,not_called,,
Nail Rume,nail salon / Beauty Salon,(720) 573-8797,"8400 E Iliff Ave #7, Denver, CO 80231, USA",80231,4.8,46,,none,,https://maps.google.com/?cid=3317692108440673770&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 2x): Pamper,ChIJw4SpOX99bIcR6h25DWXPCi4,not_called,,
Shaggy D Grooming,pet grooming / Pet Care,(303) 658-0542,"15493 E Hampden Ave, Aurora, CO 80013, USA",80013,4.8,43,,none,,https://maps.google.com/?cid=286285943819931882&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,,ChIJvfjeInmJbIcR6hCTkYwX-QM,not_called,,
Soaring Heart Massage Therapy,massage therapy / Massage,(720) 205-2320,"5810 W 38th Ave #8, Wheat Ridge, CO 80212, USA",80212,5,42,,none,,https://maps.google.com/?cid=8146159396610883183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 8x): Kalindi,ChIJI9Kzyq-Ha4cRb76zns_4DHE,not_called,,
Mile High Grooming,pet grooming / Pet Care,(303) 761-4249,"4223 S Broadway, Englewood, CO 80113, USA",80113,5,41,,none,,https://maps.google.com/?cid=12624033571430382147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 10x): Jenna,ChIJf63DrsOBbIcRQ7q28aWTMa8,not_called,,
Hank's Barber shop,barber shop / Barber shop,(720) 885-4284,"650 E 58th Ave, Denver, CO 80216, USA",80216,4.8,41,,none,,https://maps.google.com/?cid=8024107955431237541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 4x): Hank,ChIJE_JYFJZ5bIcRpWfdAqxbW28,not_called,,
American Barbers,barber shop / Barber shop,(720) 645-3123,"975 N Federal Blvd, Denver, CO 80204, USA",80204,4.9,35,,none,,https://maps.google.com/?cid=10044547881130709490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 7x): Ben,ChIJqcNvWZ9_bIcR8tEyYBRnZYs,not_called,,
Friendly Shears,barber shop / Barber shop,(720) 628-3715,"5038 Federal Blvd, Denver, CO 80221, USA",80221,4.9,34,,none,,https://maps.google.com/?cid=11749714800929732674&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 2x): Chief,ChIJlVwOsDh5bIcRQviQ2VtfD6M,not_called,,
Arce Auto Detailing llc,auto detailing,(720) 448-3363,"10218 W Chatfield Ave, Littleton, CO 80127, USA",80127,5,33,,none,,https://maps.google.com/?cid=1912953161895726180&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,,ChIJ__8vIqV-a4cRZEzB9sMsjBo,not_called,,
"Handyman & Sprinkler Services, LLC",sprinkler repair / General Contractor,(720) 273-3263,"4140 S Acoma St, Englewood, CO 80110, USA",80110,5,32,,none,,https://maps.google.com/?cid=3529107794236750309&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 6x): Andy,ChIJMT4HdvhQ9EsR5TmLQdfo-TA,not_called,,
Urban Barbers at 38th,barber shop / Barber shop,(720) 549-9756,"2915 W 38th Ave, Denver, CO 80211, USA",80211,4.9,32,,none,,https://maps.google.com/?cid=117896988236977716&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 4x): Sergio,ChIJ65CuZyB5bIcRNBb0p6_aogE,not_called,,
Expertise Cuts & Styles,barber shop / Barber shop,(303) 366-1822,"9721 E Colfax Ave, Aurora, CO 80010, USA",80010,4.8,32,,none,,https://maps.google.com/?cid=2592886037800062243&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 2x): Been,ChIJW1ugKpF8bIcRI40kGh3I-yM,not_called,,
Special Editions Auto Detail,auto detailing,(303) 507-2487,"Miller St, Lakewood, CO 80215, USA",80215,4.9,31,,none,,https://maps.google.com/?cid=15680910436490184088&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,Was,google reviews (owner mention): Was; google reviews (mentioned 2x): Paul,ChIJmYVeK72Ga4cRmIW2AfbIndk,not_called,,
Perro Amor Grooming Service,pet grooming / Hair Salon,(720) 510-9336,"5410 W Alameda Ave, Lakewood, CO 80226, USA",80226,4.9,28,,none,,https://maps.google.com/?cid=9803846424302526652&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 3x): Daisy,ChIJe46r2xWBa4cRvCAJQWFCDog,not_called,,
"Nice and Clean Car Services, LLC",auto detailing,(720) 586-3770,"2200 S Parker Rd, Denver, CO 80231, USA",80231,4.8,24,,none,,https://maps.google.com/?cid=14691569879595142851&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 3x): Mike,ChIJATOmIPd9bIcRw84YWvfw4ss,not_called,,
Hair Of The Dog Pet Grooming,pet grooming / Pet Care,,"13993e E Utah Cir, Aurora, CO 80012, USA",80012,5,23,,none,,https://maps.google.com/?cid=7247747353912397548&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,Luke,google reviews (mentioned 6x): Melissa; web yelp.com (owner mention): Luke,ChIJ_3r01aBibIcR7M65c9ErlWQ,not_called,,
EL CASTILLO BARBERSHOP,barber shop / Barber shop,(720) 983-7063,"6480 E 73rd Ave, Commerce City, CO 80022, USA",80022,4.8,21,,none,,https://maps.google.com/?cid=273858493937049364&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 2x): Josue,ChIJz94x1spxbIcRFF_XadnwzAM,not_called,,
Motion Kutz Barbershop,barber shop / Barber shop,(720) 701-8104,"5265 W 48th Ave, Denver, CO 80212, USA",80212,4.8,21,,none,,https://maps.google.com/?cid=14859128787029201792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 2x): You,ChIJjxBYLACHa4cRgBOonuc6Ns4,not_called,,
Royals Barbershop,barber shop / Barber shop,(720) 569-7282,"2153 S Chambers Rd, Aurora, CO 80014, USA",80014,4.8,21,,none,,https://maps.google.com/?cid=6970092363314385029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 2x): Oscar,ChIJn82iISCJbIcRhVAERxO-umA,not_called,,
Lonestar Blendz Barbershop,barber shop / Barber shop,(720) 260-4805,"1170 S Sheridan Blvd # C, Denver, CO 80232, USA",80232,4.8,20,,none,,https://maps.google.com/?cid=9938577512248638644&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,,ChIJbZqC4ueBa4cRtPxDLpfr7Ik,not_called,,
Castanon Landscape Services,landscaping / Services,(720) 519-2235,"12891 Randolph Pl, Denver, CO 80239, USA",80239,5,19,,none,,https://maps.google.com/?cid=17939093877532927186&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 4x): Santiago; web mawlawn.com: Castanon Landscape,ChIJscc1Y8VlbIcR0iS8EtZ29Pg,not_called,,
K2's Massage & Bodywork Studio,massage therapy / Massage,(720) 404-3583,"3000 S Jamaica Ct #195, Aurora, CO 80014, USA",80014,4.8,16,,none,,https://maps.google.com/?cid=17764779433881428857&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 5x): Kristen,ChIJUdgWp2qJbIcReeOq9cUsifY,not_called,,
"Premier Gutter Solutions, LLC.",gutter cleaning / Services,(720) 882-8666,"1414 S Richfield Way, Aurora, CO 80017, USA",80017,5,14,,none,,https://maps.google.com/?cid=17095120363647451297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 6x): Alan,ChIJJa3jkcyJbQsRocDAm2URPu0,not_called,,
Kar & Liz Beauty Salon,nail salon / Beauty Salon,(940) 442-4866,"15630 E 6th Ave, Aurora, CO 80011, USA",80011,4.9,14,,none,,https://maps.google.com/?cid=16405343001945599015&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 2x): Karla,ChIJdz5FTQBjbIcRJ2xogYp8q-M,not_called,,
Victors Seamless Gutters,gutter cleaning / Services,(720) 998-1828,"5115 Kalispell St, Denver, CO 80239, USA",80239,4.8,11,,none,,https://maps.google.com/?cid=1590349470683389313&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 4x): Fabian,ChIJmcfl6n9lbIcRgV3Q5GoOEhY,not_called,,
Kinkin Details,auto detailing,(720) 692-3308,"12990 Pensacola Pl, Denver, CO 80239, USA",80239,5,10,,none,,https://maps.google.com/?cid=16265827444261847436&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 6x): Luis,ChIJ6zckxrxlbIcRjAEHaeHTu-E,not_called,,
Green Bean’s Organic Ideas Landscaping and Design LLC,landscaping / General Contractor,(303) 265-1178,"15975 E 13th Pl, Aurora, CO 80011, USA",80011,5,9,,none,,https://maps.google.com/?cid=3328572743354110629&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 10x): Josh,ChIJ7Y_O9wtjbIcRpVKrSEZ3MS4,not_called,,
Red Rocks Mobile Detailing,auto detailing,,"1843 W Pacific Pl, Denver, CO 80223, USA",80223,5,8,,none,,https://maps.google.com/?cid=8824086639946206483&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,,ChIJSVWCk3J_bIcRE41DCQx0dXo,not_called,,
Guapa's Beauty Salon,nail salon / Beauty Salon,(303) 974-5912,"4621 Peoria St F-2, Denver, CO 80239, USA",80239,4.9,7,,none,,https://maps.google.com/?cid=18335577648387714428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,,ChIJX40oiYN7bIcRfO29o7kOdf4,not_called,,
El Camerino Hair Studio,nail salon / Beauty Salon,(303) 307-4462,"18607 Green Valley Ranch Blvd Suite 100, Denver, CO 80249, USA",80249,5,6,,none,,https://maps.google.com/?cid=5766382335974757926&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 2x): Elia,ChIJ_VHeZpVlbIcRJtbc1i5OBlA,not_called,,
Blue Columbine Landscaping,landscaping / General Contractor,(720) 281-7111,"1750 S Tejon St, Denver, CO 80219, USA",80219,5,6,,none,,https://maps.google.com/?cid=5121723960809080853&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 9x): Alex,ChIJ4dyrWl1_bIcRFcihac4EFEc,not_called,,
AOB Chinese Massage,massage therapy / Massage,(720) 216-3708,"1926 S Federal Blvd Unit D, Denver, CO 80219, USA",80219,4.8,6,,none,,https://maps.google.com/?cid=14433805675923017031&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,,ChIJ30TabY9_bIcRR41o5sktT8g,not_called,,
Brilliant Landscaping LLC,landscaping / General Contractor,(720) 676-8649,"1555 S Newton St, Denver, CO 80219, USA",80219,5,5,,none,,https://maps.google.com/?cid=14907615248977560896&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,Frank,web angi.com (owner mention): Frank,ChIJTfZT5wKBa4cRQAWBwxV94s4,not_called,,
Southwest Sprinkler Services,sprinkler repair / General Contractor,(303) 797-2769,"6091 S Marshall Dr, Littleton, CO 80123, USA",80123,5,5,,none,,https://maps.google.com/?cid=14873052299212372572&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,no website on GBP,,google reviews (mentioned 3x): Todd,ChIJf4EQzKx_a4cRXDpc7EOyZ84,not_called,,
Special Friends Veterinary Clinic & Grooming,pet grooming / Veterinary Care,(303) 363-6636,"509 Airport Blvd C, Aurora, CO 80011, USA",80011,4.8,867,https://specialfriendsvet.com/?utm_source=gmb&utm_medium=organic,placeholder,,https://maps.google.com/?cid=15967817576827981115&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,page very short (0 chars of text),,,ChIJR3AstqxjbIcROw0SKXwVmd0,not_called,,
Alfani’s Barbershop,barber shop / Barber shop,(720) 379-6471,"1238 E Colfax Ave, Denver, CO 80218, USA",80218,4.8,815,http://alfanisbarbershop.com/,placeholder,,https://maps.google.com/?cid=9407893194987940878&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,page very short (197 chars of text),,google reviews (mentioned 3x): Abo,ChIJb2TaKc1-bIcRDiwSBASNj4I,not_called,,
Nails Tech Spa & Lash,nail salon / Nail Salon,(303) 274-2536,"5610 W Alameda Ave, Lakewood, CO 80226, USA",80226,4.8,255,https://nailsolutionplus.firebaseapp.com/?storeKey=-N__MnjLOSwGQmSOKcp0,placeholder,,https://maps.google.com/?cid=13773456244581414186&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,page very short (75 chars of text),,google reviews (mentioned 3x): Tina,ChIJ76XxziGBa4cRKjWpw3olJb8,not_called,,
True Bliss Massage & Reiki,massage therapy / Massage,(720) 440-2067,"740 E 18th Ave, Denver, CO 80218, USA",80218,5,117,http://trueblissmassage.com/,placeholder,,https://maps.google.com/?cid=15995592879263845287&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,matched placeholder phrase: 'godaddy.com',Sarah,google reviews (owner mention): Sarah,ChIJcwaY38J-bIcRpwtKtPnC-90,not_called,,
Bolton Barber Studio Denver,barber shop / Barber shop,(303) 901-1163,"10160 W 50th Ave Unit 3 Suite 104, Wheat Ridge, CO 80033, USA",80033,5,114,http://boltonbarberstudiodenver.com/,placeholder,,https://maps.google.com/?cid=13871604973306467073&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,matched placeholder phrase: 'default page',,google reviews (mentioned 7x): Chris,ChIJn0JY6u6Ha4cRAVN5cjrXgcA,not_called,,
Fresh Fades by T (ASK FOR TEE) Appointments Only,barber shop / Barber shop,(720) 297-8561,"Appointments only, 15005 E Mississippi Ave, Aurora, CO 80012, USA",80012,4.8,106,http://freshfadesbyt.com/,placeholder,,https://maps.google.com/?cid=11407733974946790667&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,page very short (56 chars of text),,,ChIJ99IntJNibIcRC73bBJxpUJ4,not_called,,
Little Man Landscaping LLC,landscaping / Services,(720) 755-2955,"1100 Dakin St, Denver, CO 80221, USA",80221,4.9,88,https://littlemanlandscapi.wixsite.com/littleman-landscapin,placeholder,,https://maps.google.com/?cid=5934282177899292623&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,auto-generated host → littlemanlandscapi.wixsite.com,,google reviews (mentioned 9x): Marco,ChIJE1gECXx3bIcRz2eeGjPOWlI,not_called,,
BodyWorks Massage and Wellness Center,massage therapy / Massage,(303) 933-5057,"6701 W Ken Caryl Ave, Littleton, CO 80128, USA",80128,4.8,75,http://www.bodyworkslittleton.com/,placeholder,,https://maps.google.com/?cid=4014544113535679589&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,matched placeholder phrase: 'default page',,google reviews (mentioned 2x): Jeremy,ChIJQVNWnmZ-a4cRZfxt7pmGtjc,not_called,,
Head to Toe Massage & Spa,massage therapy / Massage spa,(303) 919-2262,"2897 W Belleview Ave D, Littleton, CO 80123, USA",80123,4.8,50,http://headtotoemassageco.wixsite.com/80123,placeholder,,https://maps.google.com/?cid=5632763357920360212&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,auto-generated host → headtotoemassageco.wixsite.com,,google reviews (mentioned 6x): Tina,ChIJC2uq_sOBbIcRFPetLG6YK04,not_called,,
Your Best Massage,massage therapy / Massage,(704) 999-6423,"110 Yuma St, Denver, CO 80223, USA",80223,5,22,https://yourbestmassage.wixsite.com/yourbestmassage,placeholder,,https://maps.google.com/?cid=5853182917839868864&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6/5/2026,auto-generated host → yourbestmassage.wixsite.com,,google reviews (mentioned 15x): Chris,ChIJe-Oije6HbIcRwNM6L9quOlE,not_called,,
